Logger_id,Location_id,Lat,Long,EPSG,Distance_to_building,Distance_to_street,Remarks,Picture_taken,Files_saved
5002-0872,0,47.988813,7.859872,4326,7,4,"",T,T
5002-0872,1,47.9908,7.862196,4326,20,2,"",T,T
5002-0872,2,47.991471,7.865795,4326,7,2,"",T,T
5002-0872,3,47.992414,7.870796,4326,20,5,"",T,T
5002-0872,4,47.991515,7.878675,4326,75,5,"",T,T
5002-0872,5,47.992041,7.882572,4326,80,75,"",T,T
5002-0872,6,47.991242,7.888588,4326,100,90,"",T,T
5001-C1A5,0,47.98882,7.85988,4326,7,4,next to LUBW - FR Schwarzwaldstr. Station,T,T
5001-C1A5,1,47.98872,7.86152,4326,1,2,"nextto """"Swamp"""", 2 m next to B31",T,T
5001-C1A5,2,47.98828,7.86496,4326,,,Maria-Hilf-Kirche - tram station,T,T
5001-C1A5,3,47.98789,7.87243,4326,,,across the street from Musikhochschule,T,T
5001-C1A5,4,47.9883,7.87767,4326,,,next to Faller bakery,T,T
5001-C1A5,5,47.98906,7.88165,4326,,,entrance to Unisport,T,T
5001-C1A5,6,47.9895,7.89037,4326,,,Between PTSV and SC Stadium,T,T
5002-C278,0,47.988833,7.85991,4326,,,,T,T
5002-C278,1,47.990531,7.857311,4326,,,,T,T
5002-C278,2,47.992528,7.854176,4326,,,,T,T
5002-C278,3,47.994146,7.85239,4326,,,,T,T
5002-C278,4,47.995445,7.851816,4326,,,,T,T
5002-C278,5,47.996438,7.849487,4326,,,,T,T
5002-C278,6,47.997448,7.846912,4326,,,,T,T
5002-1DAE,0,47.988836,7.859913,4326,10,2,Reference measurement next to LUBW - FR Schwarzwaldstr. Station,T,T
5002-2033,0,47.9888475,7.8598685,4326,7,3,"",T,T
5002-2033,1,47.9874529,7.8571866,4326,5,3,"",T,T
5002-2033,2,47.9845177,7.8573503,4326,10,3,"",T,T
5002-2033,3,47.982525,7.853086,4326,2,3.5,"",T,T
5002-2033,4,47.981997,7.8479676,4326,30,4,"",T,T
5002-2033,5,47.976152,7.8477533,4326,12,2.5,"",T,T
5002-2033,6,47.9783124,7.8414783,4326,40,1.5,"",T,T
5002-1512,0,47.9887,7.85995,4326,5,10,"",T,T
5002-1512,1,47.990342,7.855282,4326,5,2,"",T,T
5002-1512,2,47.991992,7.85329,4326,1,1,"",T,T
5002-1512,3,47.992843,7.848802,4326,3,3,"",T,T
5002-1512,4,47.993591,7.845641,4326,25,2,"",T,T
5002-1512,5,47.99435,7.841825,4326,2,4,"",T,T
5002-1512,6,47.996619,7.837561,4326,18,50,"","",""
5002-11F6,0,47.9887,7.85995,4326,1.5,5,"",T,T
5002-11F6,1,47.98827,7.8545,4326,10,2,"",T,T
5002-11F6,2,47.98829,7.84961,4326,5,2,"",T,T
5002-11F6,3,47.98776,7.84436,4326,5,2,"",T,T
5002-11F6,4,47.98699,7.839,4326,7,0.5,"",T,T
5002-11F6,5,47.98602,7.83638,4326,2,2,"",T,T
5002-11F6,6,47.98588,7.83923,4326,1.5,2.5,"",T,T
